il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,AK PARTİ,ALİ FUAT YILMAZER,ANADOLU PARTİSİ,BTP,CHP,DP,DSP,DYP,ERSAN GÖKGÖZ,GÜNSEL AVCI,HAK-PAR,HDP,HKP,KP,KURTULUŞ ALADOGAN,LDP,LEVENT SEKBAN,MEHMET SAİT DURMUŞ,MEP,METE GÜNDOĞAN,METİN KAYA,MHP,MİHRİYE NEVRA ÖLÇER,MİLLET,RECEP DİNLER,SAADET,SAADET YILMAZ,SEÇKİN İLKER,TURK PARTİ,VATAN PARTİSİ,YALÇIN KARADAŞ,YILMAZ KARABUL,YURT-P,İLBAY ÇEP
İSTANBUL,PENDİK,FATİH MAH.,FATİH,38,11247,19.77074992632499,0.4475553479427664,0.003703703703703704,0.06680710163943016,7.332336977766397,0.027539496457035087,0.06033216292545994,0.019882028062434658,0.0,0.0,0.030233190464002566,4.785198648431026,0.02676173983016999,0.006825938566552901,0.0,0.0034602076124567475,0.010342964451727131,0.042815305910367765,0.003367003367003367,0.0,0.09460770631744285,3.9762687311134095,0.00940555084760385,0.003355704697986577,0.006655739883496866,1.1372933486366956,0.0,0.0,0.06430711588161163,0.04370927265574824,0.019767549907797964,0.0,0.003257328990228013,0.0034602076124567475
İSTANBUL,PENDİK,FEVZİ ÇAKMAK MAH.,FEVZİ ÇAKMAK,69,20822,43.55350580209985,1.822249274950379,0.020659424697040796,0.19252502560898418,7.15789118963037,0.020162462406840925,0.14113566674961858,0.020470535772867074,0.003289473684210526,0.03896736713579942,0.05374432149533627,3.3261121358915777,0.04684944416689972,0.01312924540148289,0.003355704697986577,0.04546542473983745,0.010446965615465702,0.056490933550044906,0.02274929314248963,0.03269488894317121,0.2597741198876397,9.05616932649324,0.01342038498833863,0.009729820899613127,0.01272100185324081,2.682326256220709,0.0,0.0,0.21336373136237943,0.09002610152984745,0.07052408211775693,0.0032258064516129032,0.0035460992907801418,0.003278688524590164
İSTANBUL,PENDİK,GÖÇBEYLİ MAH.,GÖÇBEYLİ,2,588,1.565656098125434,0.023767646378153207,0.0,0.003355704697986577,0.12564221245082158,0.0,0.003355704697986577,0.0,0.0,0.0,0.006711409395973154,0.010252256422124508,0.006803980560055543,0.0,0.0,0.003355704697986577,0.0,0.0,0.003355704697986577,0.0,0.01015968525804212,0.19004859986114325,0.0,0.0,0.0,0.027215922240222172,0.0,0.0,0.02031937051608424,0.0,0.0,0.0,0.0,0.0
İSTANBUL,PENDİK,GÜLLÜ BAĞLAR MAH.,GÜLLÜ BAĞLAR,25,7394,14.0443178805061,0.42656394573521195,0.007050995580714037,0.09918074707596422,4.858357894263136,0.009642166049807659,0.050176528408182396,0.010099706703959321,0.003236245954692557,0.0034602076124567475,0.03778559768130095,1.461587104347507,0.02717017642368958,0.0066448116383544704,0.0035087719298245615,0.009913499311650087,0.013272087984083516,0.03658338736866336,0.01686065377728748,0.0031847133757961785,0.058484317434270905,2.847423970100668,0.0064516129032258064,0.0,0.0,0.8612785053548969,0.0,0.0,0.06736693362181997,0.027150785609982832,0.003246753246753247,0.0,0.0,0.0
İSTANBUL,PENDİK,GÜZELYALI MAH.,GÜZELYALI,62,18391,30.8236709949965,1.8599054348770037,0.027225209975495403,0.17089013240689618,15.065051609738378,0.006993348982785603,0.11505918271368551,0.03013621386274166,0.009870205751012062,0.0032258064516129032,0.04768935000123075,3.6138076890218493,0.027818733300289594,0.013215519119335205,0.0,0.02393000340019401,0.02316887030298621,0.11587102417597732,0.020427461060432247,0.006723619680430311,0.20320465207809507,7.635266928235059,0.030734163696487047,0.013612716388774121,0.013295187409218347,1.7354128133594042,0.0,0.0,0.09335414607091551,0.22934680893217163,0.023959469388249974,0.003205128205128205,0.013927576417658872,0.0
İSTANBUL,PENDİK,HARMANDERE MAH.,HARMANDERE,13,4002,4.506507106455456,0.41024856199200205,0.012594165398389045,0.0062215771649733916,4.724866290647181,0.009889135041572353,0.013662546595144152,0.010017941613033638,0.0033112582781456954,0.006380900042742872,0.013787770519155201,1.0139765521150323,0.0070259628399163285,0.013030503434284055,0.0,0.01621747369688433,0.0,0.05822049885536342,0.010142289344182882,0.006644518272425249,0.01598071219982396,1.6996292701156834,0.009202453987730062,0.0035087719298245615,0.009762871181371502,0.3505067119107718,0.0061162079510703364,0.0,0.02312672720296395,0.03295446762947869,0.003076923076923077,0.0,0.003389830508474576,0.0
İSTANBUL,PENDİK,KARTAL AÇIK CEZA İNFAZ KURUMU,KARTAL AÇIK CEZA İNFAZ KURUMU,1,11,0.18181818181818182,0.0,0.0,0.0,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
İSTANBUL,PENDİK,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,1,33,0.3939393939393939,0.0,0.0,0.030303030303030304,0.06060606060606061,0.0,0.0,0.0,0.0,0.0,0.0,0.42424242424242425,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
İSTANBUL,PENDİK,KAVAKPINAR MAH.,KAVAKPINAR,103,32018,53.38935720648785,1.1522344076619266,0.006784431274740864,0.2098569702519881,19.655691923459194,0.04506839760851874,0.19108392870396912,0.06138154601481661,0.006269592476489028,0.00927626276417725,0.10685084026773158,14.31116849051767,0.08703564502547245,0.025707674876430484,0.009508725197790877,0.04915275034095871,0.03246392263676473,0.15495381421290935,0.03837876319929107,0.009530859628018876,0.37773230350502346,9.525207151287573,0.009339295918413502,0.029075699381644476,0.021482522755018857,2.9734719332619703,0.003215434083601286,0.0102941533089216,0.21482652858017315,0.16815005394330626,0.08294378495903783,0.003278688524590164,0.025904038747803358,0.0033222591362126247
İSTANBUL,PENDİK,KAYNARCA MAH.,KAYNARCA,93,27589,46.23972222126753,2.629235363727189,0.056556043481635204,0.3373989280530267,18.14018985343464,0.0411541055326278,0.11820178693946502,0.051127886845234546,0.0,0.033879276227239866,0.08524851221898194,6.806008236171994,0.07150352683160291,0.02037478168754235,0.006546802674438539,0.04801804100241123,0.023501511626932377,0.13052985958699237,0.044018944459884954,0.0034129692832764505,0.33735709025376626,14.100256675479372,0.059990883837954104,0.02383634827182316,0.03128383270062215,2.975039383947287,0.0,0.0,0.15471893472665685,0.3119765691581449,0.055146480165873,0.003048780487804878,0.033408406920591695,0.027307962997458392
