il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,DOĞU PERİNÇEK,MERAL AKŞENER,MUHARREM İNCE,RECEP TAYYİP ERDOĞAN,SELAHATTİN DEMİRTAŞ,TEMEL KARAMOLLAOĞLU
İSTANBUL,PENDİK,GÜZELYALI MAH.,GÜZELYALI,64,20922,0.11342061756959956,3.3569651591780336,19.89852540266714,38.148547954283934,1.6404937314466297,0.8420471348546611
İSTANBUL,PENDİK,HARMANDERE MAH.,HARMANDERE,15,4724,0.009752166995830591,0.9116619952475535,7.345910174302979,6.063121410715831,0.4954412239063537,0.1741130288314522
İSTANBUL,PENDİK,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,1,91,0.0,0.07692307692307693,0.34065934065934067,0.3516483516483517,0.23076923076923078,0.0
İSTANBUL,PENDİK,KAVAKPINAR MAH.,KAVAKPINAR,110,35750,0.15516085075763741,3.5321446054541066,25.351476914133862,68.82956817229714,10.895327974630396,1.2363214827268538
İSTANBUL,PENDİK,KAYNARCA MAH.,KAYNARCA,94,30044,0.17045120829603336,6.169533732761539,25.667850336595485,56.65937084321767,4.154682399518296,1.1781114796109744
İSTANBUL,PENDİK,KURNA MAH.,KURNA,3,810,0.014705882352941176,0.13024431736861963,0.618483840118662,1.9028740062713871,0.3336919538883901,0.0
İSTANBUL,PENDİK,KURTDOĞMUŞ MAH.,KURTDOĞMUŞ,1,327,0.0,0.14984709480122324,0.26605504587155965,0.5504587155963303,0.01834862385321101,0.01529051987767584
İSTANBUL,PENDİK,KURTKÖY MAH.,KURTKÖY,59,18573,0.09809601406823322,3.291256381472332,16.4114097977524,35.04080555616655,3.4476287174387323,0.7108035331017526
İSTANBUL,PENDİK,ORHANGAZİ MAH.,ORHANGAZİ,52,16612,0.06997816050203298,2.2316024756814166,10.93264228792608,36.209187720369705,1.9131567355580166,0.6434326199627489
İSTANBUL,PENDİK,ORTA MAH.,ORTA,12,3824,0.03138915995634476,0.8749327364053012,3.1024793867839353,7.708467637491087,0.18165618743114856,0.10107489193218251
İSTANBUL,PENDİK,RAMAZANOĞLU MAH.,RAMAZANOĞLU,6,1809,0.003246753246753247,0.15693972608072937,2.0637014722291176,3.0817927882323906,0.6141615173703259,0.08015774284068312
İSTANBUL,PENDİK,SANAYİ MAH.,SANAYİ,7,2042,0.04107640242969684,0.2246720721195333,1.8260031009874664,3.842290416410396,0.9819127077110084,0.08404530034189897
İSTANBUL,PENDİK,SAPAN BAĞLARI MAH.,SAPAN BAĞLARI,23,7410,0.053506018893347794,1.404390444544636,11.858558498108742,9.111392637582007,0.3955758611228473,0.17657653974841905
İSTANBUL,PENDİK,SÜLÜNTEPE MAH.,SÜLÜNTEPE,44,14219,0.0584996536559422,1.7287528661841691,14.442903848488788,22.675621435035538,4.707518948783867,0.38670324785169763
İSTANBUL,PENDİK,VELİBABA MAH.,VELİBABA,68,21895,0.10936206316130655,3.270459603225766,14.930865346426396,45.95928363210589,3.0644735287670803,0.6655558263135636
İSTANBUL,PENDİK,YAYALAR MAH.,YAYALAR,22,7268,0.03912726289536653,1.1592660873341267,7.154590240016445,12.358103847196743,1.007784684788836,0.28112787776848247
İSTANBUL,PENDİK,YENİ MAH.,YENİ,31,10234,0.06065533818329323,1.8154805111316543,17.615721521668537,10.887263385552378,0.34187505327145373,0.27900419019268385
İSTANBUL,PENDİK,YENİŞEHİR MAH.,YENİŞEHİR,109,35080,0.27453844205188827,7.252257304813503,54.87064922449756,41.86972543288454,3.6600693068761436,1.072760288876363
İSTANBUL,PENDİK,YEŞİLBAĞLAR MAH.,YEŞİLBAĞLAR,12,3994,0.0029940119760479044,0.5220236064362639,5.608470166802745,5.323224481397871,0.4130877520084525,0.13019998137862013
İSTANBUL,PENDİK,ÇAMLIK MAH.,ÇAMLIK,28,9019,0.08018496986916433,2.060832849000719,9.164496268497825,15.163339216731394,0.8302044548749551,0.7009422410259422
İSTANBUL,PENDİK,ÇAMÇEŞME MAH.,ÇAMÇEŞME,60,19428,0.11783572128600467,2.992834477534764,9.94840570224316,44.59857205782314,1.4098857088131604,0.932466332299768
İSTANBUL,PENDİK,ÇINARDERE MAH.,ÇINARDERE,37,11804,0.06944007499525973,2.54425218396288,10.236497018215962,22.86080178052458,0.9581677977818929,0.3308411445194267
İSTANBUL,PENDİK,ŞEYHLİ MAH.,ŞEYHLİ,32,10286,0.051046091321038045,1.9123283667898934,8.490951071474836,19.78325991086057,1.2365104373059403,0.5259041222477241
