il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,AB PARTİ,ABP,AK PARTİ,BTP,BÜYÜK BİRLİK,CHP,DEVA PARTİSİ,DP,DSP,EMEP,GELECEK PARTİSİ,HKP,HÜDA PAR,MEMLEKET,MİLLET,SAADET,SOL PARTİ,TKH,TKP,TİP,VATAN PARTİSİ,YENİDEN REFAH,ZAFER PARTİSİ,İYİ PARTİ
İSTANBUL,PENDİK,GÜLLÜ BAĞLAR MAH.,GÜLLÜ BAĞLAR,39,10399,0.010887184446950327,0.007505985072524996,19.14290214984243,0.10657165379898041,0.9605980197108991,13.447762945519537,0.1563532770070455,0.06745040949410948,0.03835987997959551,0.048725165413377215,0.07934852399734102,0.0038314176245210726,0.06732016720224945,0.13441542500722367,0.029929407127744428,0.5657050650085618,0.09534748127119565,0.011688468992248062,0.037692156832536926,0.16596118801349813,0.052533104597147204,1.8247832759632994,1.5544332237361367,0.389894424340847
İSTANBUL,PENDİK,GÜZELYALI MAH.,GÜZELYALI,74,19623,0.03824578334245465,0.026262981965862364,33.59829028005808,0.16139544859211202,0.7898216485859059,29.06657650185519,0.16996402960550733,0.05671869619749077,0.037309571250464656,0.11776250078043553,0.12112033310792848,0.011464351233680864,0.17670617949588105,0.3150836104203052,0.030843822203493257,1.0270049131336487,0.07929276306505549,0.007169287696577244,0.11263387685252745,0.2038474076339991,0.08147004443967516,3.399000822998818,3.299234594666473,1.072780550818434
İSTANBUL,PENDİK,HARMANDERE MAH.,HARMANDERE,19,5093,0.014146894246717303,0.0,5.756040064558123,0.040991212846877546,0.19042037094800784,10.533825508498746,0.041051743439818225,0.011985590869967165,0.007710592779676125,0.03383534391080781,0.033571279475650036,0.0,0.037513421342841,0.10036000516527575,0.0035335689045936395,0.21178372505198986,0.01858108988363974,0.014838723956180154,0.0370408938677878,0.09002177224641963,0.01746899382082879,0.5568682268702384,0.9855308986565614,0.26288007865925317
İSTANBUL,PENDİK,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,1,8,0.0,0.0,0.25,0.125,0.125,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0
İSTANBUL,PENDİK,KAVAKPINAR MAH.,KAVAKPINAR,135,35150,0.07257051389823364,0.11756528374683865,63.736047381880624,0.3274562395459308,1.4582245213242917,50.40144696811939,1.044139351031977,0.16101062277258835,0.15574906950124956,0.3598546352260675,0.21486894631767858,0.04402827550737303,0.5355034242610314,0.5709850637429306,0.05476920745301351,1.771761554983455,0.4073805497034489,0.05762633396590861,0.14512808393465534,0.4604868504635911,0.1158510767765641,7.110464480932808,4.184160203610435,1.4929213612999226
İSTANBUL,PENDİK,KAYNARCA MAH.,KAYNARCA,104,27207,0.03800048340665056,0.046119121615365674,46.30332739656046,0.21707107231387987,1.3868857998333461,40.77421954781689,0.23160502412791167,0.057415326096748834,0.0735110598518406,0.11301348037258632,0.2415831167188203,0.02363879455968481,0.2367087259339573,0.5695177275597786,0.0472445046336237,1.5010842324086442,0.11073146127897808,0.04663001048502995,0.15224854483333736,0.33080567901207214,0.09674043508515205,5.00176249430856,4.929563920442322,1.470572040744358
İSTANBUL,PENDİK,KURNA MAH.,KURNA,3,704,0.008695652173913044,0.004347826086956522,1.3753391899091776,0.004347826086956522,0.02083927044742092,1.279282466204914,0.004132231404958678,0.008442576232544885,0.004347826086956522,0.0,0.0,0.0,0.004310344827586207,0.012574807637503562,0.0,0.021448573234044137,0.012752921060131091,0.0,0.0,0.012790402319501407,0.0,0.10745846085221852,0.05112412801863531,0.06776549741658097
İSTANBUL,PENDİK,KURTDOĞMUŞ MAH.,KURTDOĞMUŞ,2,511,0.0,0.0,0.9158623648006863,0.007751937984496124,0.01178110733216901,0.8843950117964274,0.0,0.003875968992248062,0.007828538162208536,0.0,0.0,0.0,0.0,0.0,0.0,0.02348561448662561,0.0,0.0,0.0,0.0,0.0,0.058752336305420226,0.07456261298526212,0.011704507154456598
İSTANBUL,PENDİK,KURTKÖY MAH.,KURTKÖY,79,20619,0.04647733306473107,0.020504394235967352,33.99628213819745,0.1522431178545923,1.2952694763170578,31.901154015764284,0.2815713055185155,0.07257206256527496,0.08466898053586046,0.11163658232952775,0.1231385574262422,0.03780055832341588,0.16825122881211346,0.3868863161157259,0.024067777055808388,0.8502656707538826,0.13872994077741693,0.05355443297191727,0.1450323509630204,0.38351492685916677,0.09552727523584663,3.589067184441572,3.938863672388434,1.1029207014921767
İSTANBUL,PENDİK,ORHANGAZİ MAH.,ORHANGAZİ,59,15342,0.038925928959867524,0.019388014563868405,30.12494871374292,0.29225268351580036,0.7486882932113815,18.742746685222375,0.13943188891374347,0.034161103489913365,0.06542246718690532,0.054439412314372854,0.10523415867775583,0.08490441141264564,0.15264531655702893,0.20288581440200845,0.041566041569111034,0.8138677289981064,0.06944029323860744,0.01941812151631574,0.1344334023542069,0.18956513597301952,0.07980816474360199,3.8733511654412447,2.340699518874376,0.6317755351208234
