il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,AB PARTİ,ABP,AK PARTİ,BTP,BÜYÜK BİRLİK,CHP,DEVA PARTİSİ,DP,DSP,EMEP,GELECEK PARTİSİ,HÜDA PAR,MEMLEKET,MİLLET,OCAK,SAADET,TKP,URAS KARADENİZ,VATAN PARTİSİ,YENİDEN REFAH,YTP,ZAFER PARTİSİ,ÜMİT DEMİR,İYİ PARTİ
İSTANBUL,PENDİK,FATİH MAH.,FATİH,44,11463,0.1237795901360361,0.007527414220021224,21.057750426700018,0.08411033765924646,0.45938204300746516,16.403671231938787,0.16475729303551118,0.026552716237076023,0.07651498516105812,0.10379002011575228,0.030744912565688728,0.16998373732392436,0.10597435340411274,0.030109059305879066,0.007878411910669975,0.5378827478966546,0.057902041209167525,0.046099770842350986,0.045806728041785844,2.7299988531917525,0.011520277658246154,1.2605604743708843,0.09473964483767397,0.3629629292302359
İSTANBUL,PENDİK,FEVZİ ÇAKMAK MAH.,FEVZİ ÇAKMAK,81,21606,0.05280599088214537,0.014843952370895495,45.65214541128942,0.16461512516028215,1.0250213701107884,23.648890207081543,0.19594244841150305,0.04931111674741264,0.09534541990665482,0.07486719728030143,0.05776700339372314,0.1891803071018602,0.3057140572132792,0.007332303766870342,0.0036231884057971015,1.3846875882534029,0.11943833902468276,0.11154163737262848,0.08030872557280835,3.9609060109746568,0.04863873687425853,2.5170380479273375,0.190403685163828,1.049632129713921
İSTANBUL,PENDİK,GÖÇBEYLİ MAH.,GÖÇBEYLİ,3,913,0.003246753246753247,0.006493506493506494,1.1462531721152411,0.0066950291088222124,0.08921480818032543,1.479111310145793,0.006493506493506494,0.0034482758620689655,0.0031746031746031746,0.0034482758620689655,0.0034482758620689655,0.0034482758620689655,0.013116385530178635,0.0,0.003246753246753247,0.016420361247947456,0.006896551724137931,0.0,0.0,0.1593969249141663,0.0,0.010344827586206896,0.0,0.03610240334378265
İSTANBUL,PENDİK,GÜLLÜ BAĞLAR MAH.,GÜLLÜ BAĞLAR,39,10450,0.007439982298926872,0.0226221969355661,20.052398152201388,0.09138173363733697,0.7326642872260755,13.79150189899977,0.08956722964261887,0.029820686886448095,0.032946819073831755,0.06358144304313179,0.04131027066778162,0.04815988791906683,0.11165895855852642,0.022419812119409004,0.0,0.4289710860520714,0.0637538186511047,0.05634864038749553,0.044287222696911384,1.6197859691796936,0.02275154249636501,1.1366580194823641,0.20627849459967842,0.2836918472444368
İSTANBUL,PENDİK,GÜZELYALI MAH.,GÜZELYALI,74,19651,0.0379083160588875,0.0344911661493044,34.21698976242925,0.12861570330307193,0.6828075389113718,30.067373475644192,0.13812409961994865,0.03759547632066387,0.037000139054238074,0.09083274086090848,0.07222965542659973,0.16502472437802537,0.235438203480566,0.019331841282569446,0.011442118446949366,0.8996534428813295,0.10054612690085865,0.04083356840156881,0.03775563188224971,3.128962966400709,0.060056400484384535,2.6780741529607077,0.15023814580843453,0.9286746029132071
İSTANBUL,PENDİK,HARMANDERE MAH.,HARMANDERE,19,5080,0.0034965034965034965,0.0035587188612099642,6.124430829554611,0.014967507319319558,0.1834803346735512,10.815728754488925,0.05277979175915711,0.015710401577738512,0.007276190980169072,0.007807981492192018,0.01088322009998718,0.0308199008675785,0.07805014425714135,0.01091404468655641,0.0034482758620689655,0.14596401415938262,0.04485958345792242,0.015218571284718437,0.018161623563978255,0.4466614617337756,0.030191747403900532,0.7383608022696438,0.007708531368821292,0.18952106478114877
İSTANBUL,PENDİK,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,1,7,0.0,0.0,0.5714285714285714,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
İSTANBUL,PENDİK,KAVAKPINAR MAH.,KAVAKPINAR,135,35141,0.08800847472285554,0.05683528393517745,65.41585016410085,0.2778439909926824,1.2433244354096973,52.25805485989388,0.7709143146247763,0.107857804423239,0.1638005797424208,0.2958440911421695,0.11154862317123719,0.4973776436936164,0.464923491910415,0.04951348166824493,0.02350050067276013,1.583865971246788,0.19492367287602919,0.07686202415527255,0.10054459850923358,6.3908637662681,0.11869738703151685,3.1969774282731827,0.26710468305743074,1.2449627284784288
İSTANBUL,PENDİK,KAYNARCA MAH.,KAYNARCA,104,27181,0.04197109877201159,0.03581823017637405,47.35858963286845,0.2253382865658276,1.211389773072783,42.48020979253879,0.1558899150951552,0.06810596366441773,0.05020730325602133,0.08305695080724268,0.08002062270901021,0.17204723634998126,0.4479647565268267,0.031289098248542944,0.016009979129395308,1.265812876864075,0.15706051274799288,0.1312330445327639,0.09369896299245783,4.5088542924361725,0.06781268877107947,3.941785289093976,0.22235988298079556,1.1534738097998611
İSTANBUL,PENDİK,KURNA MAH.,KURNA,3,708,0.0,0.004366812227074236,1.3987919613130346,0.004366812227074236,0.00411522633744856,1.3223891948429158,0.0,0.00423728813559322,0.0,0.0,0.008352514473041781,0.0,0.016834553037564575,0.0,0.0,0.025187067510606356,0.004366812227074236,0.0,0.0,0.1106028375598849,0.00823045267489712,0.03815798010034804,0.012597264901971356,0.03740322243147102
