il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,ABDULCELİL GÜLAP,AHMET ÇÖRDÜK,AK PARTİ,ALİ RIZA KANSIZ,BURAK KADIOĞLU,BURHAN EROL,CHP,DOĞAN DUMAN,DURSUNALİ BACIOĞLU,FATMA RAGİBE KANIKURU LOĞOĞLU,GÜLDES ÖNKOYUN,HASAN ATASOY TORUN,LÜTFÜ YILMAZ,MEHMET YILDIZ,MEMET ALİ AYDOĞMUŞ,MUHAMMET ALİ CANCA,SAADET,SEÇKİN İLKER,VATAN PARTİSİ,VEDAT ÖZTÜRK,ÖZKAN MUSTAFA KÜÇÜKKURAL
İSTANBUL,PENDİK,RAMAZANOĞLU MAH.,RAMAZANOĞLU,6,1653,0.0,0.0,2.7057615510041346,0.0,0.0,0.0,3.2358666459958676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.058371802999997696,0.0,0.0,0.0,0.0
İSTANBUL,PENDİK,SANAYİ MAH.,SANAYİ,7,1973,0.0,0.0035714285714285713,3.419131741596786,0.0,0.0,0.0,3.5159831039251954,0.0,0.003745318352059925,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03923704187033107,0.0,0.0183313656841991,0.0,0.0
İSTANBUL,PENDİK,SAPAN BAĞLARI MAH.,SAPAN BAĞLARI,25,7233,0.0,0.0,8.570561565394987,0.0,0.0,0.0067916609012499424,16.236095586942962,0.0033112582781456954,0.0,0.0,0.0,0.0,0.0,0.003401360544217687,0.0,0.003215434083601286,0.14171653183867722,0.0035335689045936395,0.03137303311156433,0.0,0.0
İSTANBUL,PENDİK,SÜLÜNTEPE MAH.,SÜLÜNTEPE,47,13369,0.0,0.0,22.005206563074303,0.0035087719298245615,0.0035842293906810036,0.0034602076124567475,24.59497996166535,0.006957047791893527,0.0,0.0,0.0,0.0034482758620689655,0.0036363636363636364,0.0,0.003484320557491289,0.0035460992907801418,0.2698679093726323,0.024325187900878183,0.07399506191528005,0.0,0.0
İSTANBUL,PENDİK,VELİBABA MAH.,VELİBABA,74,20510,0.0034965034965034965,0.0,45.96108066365204,0.0,0.0035211267605633804,0.010756316210008639,27.453480737351956,0.0,0.015029542155220513,0.0034965034965034965,0.006995144978048452,0.010785056446821152,0.006908483474525713,0.0,0.0,0.0036496350364963502,0.4053437919313675,0.006968725718725718,0.10507480000794417,0.0034129692832764505,0.0
İSTANBUL,PENDİK,YAYALAR MAH.,YAYALAR,25,7024,0.0,0.0037593984962406013,12.574022863696655,0.0,0.0,0.0,12.10519264538613,0.0,0.0033444816053511705,0.0,0.0035714285714285713,0.0,0.0,0.0,0.003663003663003663,0.0,0.24893929711124801,0.0,0.05750688146994348,0.0,0.0
İSTANBUL,PENDİK,YENİ MAH.,YENİ,35,10147,0.0,0.0,10.505946377861724,0.0,0.0,0.0,24.25821953346037,0.0,0.0037735849056603774,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1763071322386806,0.003484320557491289,0.04480770987628953,0.003952569169960474,0.0035087719298245615
İSTANBUL,PENDİK,YENİŞEHİR MAH.,YENİŞEHİR,121,33692,0.0,0.0,39.412298579260074,0.003484320557491289,0.0034482758620689655,0.0,80.69720719536365,0.017821606503312357,0.0038314176245210726,0.010875658449942571,0.0,0.00392156862745098,0.0034602076124567475,0.011000705321098316,0.0,0.007059408401690281,0.6471529115180804,0.007286578891484392,0.16066153747005257,0.010490028536633202,0.0
İSTANBUL,PENDİK,YEŞİLBAĞLAR MAH.,YEŞİLBAĞLAR,13,3887,0.0,0.0,4.873245243501895,0.0,0.0,0.0,8.01910617957632,0.0,0.0,0.003194888178913738,0.0,0.0,0.0,0.0,0.0,0.0,0.0941653876253248,0.0,0.010288301117546831,0.0,0.0
İSTANBUL,PENDİK,ÇAMLIK MAH.,ÇAMLIK,31,8942,0.0,0.0,15.618429234906879,0.0,0.0,0.0,14.862060347107944,0.0,0.0,0.003484320557491289,0.0,0.0,0.027665718372042406,0.0,0.003436426116838488,0.0,0.42921876921932234,0.0,0.04879323643651011,0.0035335689045936395,0.0033783783783783786
İSTANBUL,PENDİK,ÇAMÇEŞME MAH.,ÇAMÇEŞME,63,17870,0.0,0.0,43.60121692195766,0.0035587188612099642,0.0,0.0035842293906810036,18.665281943012257,0.0032679738562091504,0.010474716202270381,0.0,0.0,0.0,0.0036363636363636364,0.0,0.0,0.0035211267605633804,0.6141650724850641,0.01414028054423665,0.07375129274926902,0.0,0.003401360544217687
İSTANBUL,PENDİK,ÇINARDERE MAH.,ÇINARDERE,42,11386,0.0036363636363636364,0.0,23.141986279640268,0.0,0.0,0.0,18.528287756106383,0.0035714285714285713,0.007157490396927016,0.007395762132604238,0.0,0.0,0.0036363636363636364,0.0,0.0,0.0,0.23388286327781957,0.007633698993342365,0.06281199360850115,0.0,0.0
İSTANBUL,PENDİK,ŞEYHLİ MAH.,ŞEYHLİ,36,10105,0.0,0.003816793893129771,20.478221685428107,0.0,0.0,0.0,15.120379317587666,0.0,0.007142129653205683,0.003436426116838488,0.0,0.0,0.010539351968862154,0.0,0.0,0.0,0.3040839175858459,0.010690765894069651,0.061689611872276714,0.0,0.0
