il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,AK PARTİ,BBP,BTP,CHP,DP,DSP,HAK-PAR,HDP,HKP,KP,LDP,MHP,MİLLET,SAADET,SEÇKİN İLKER,VATAN PARTİSİ
İSTANBUL,PENDİK,KURNA MAH.,KURNA,3,796,1.8318711289902763,0.007451916405317643,0.0,0.45230544182835264,0.007451916405317643,0.0,0.007451916405317643,0.3912809315101785,0.0036496350364963502,0.0,0.003861003861003861,0.2648097214442861,0.0036496350364963502,0.02256711804046044,0.0036496350364963502,0.0
İSTANBUL,PENDİK,KURTDOĞMUŞ MAH.,KURTDOĞMUŞ,1,303,0.5313531353135313,0.013201320132013201,0.0,0.22112211221122113,0.0,0.0,0.0,0.052805280528052806,0.0033003300330033004,0.0,0.0,0.16831683168316833,0.0,0.006600660066006601,0.0,0.0033003300330033004
İSTANBUL,PENDİK,KURTKÖY MAH.,KURTKÖY,52,16488,30.602562563606956,0.32478501155493106,0.03321252524800018,10.135241789856693,0.02583241913982827,0.03911482033643993,0.09539049720832972,4.284554904952721,0.07113673289650828,0.05146779156113578,0.04461862337621641,5.648930925169296,0.022227844191856624,0.5197392837112628,0.01582478825028064,0.0853594789395444
İSTANBUL,PENDİK,ORHANGAZİ MAH.,ORHANGAZİ,51,16660,34.258636082847886,0.18699889133046455,0.10358826505735264,8.203801714022575,0.018829534696169624,0.021339741534971125,0.12373419044915832,2.2792650341216167,0.04938691214342242,0.06872557310715259,0.027625946312772577,5.029102371239793,0.012517263054480986,0.5855065418313926,0.009230957039037153,0.02171098121175341
İSTANBUL,PENDİK,ORTA MAH.,ORTA,13,3783,7.947209616452369,0.051236815951572354,0.013707584016218355,2.65476009482052,0.0072992700729927005,0.013857630827731546,0.03462719533965642,0.30170349245861977,0.04089341290471646,0.003246753246753247,0.010441295937746292,1.8011640084791414,0.0035460992907801418,0.08559883734246168,0.0,0.030707892858720744
İSTANBUL,PENDİK,RAMAZANOĞLU MAH.,RAMAZANOĞLU,6,1870,2.998559828083931,0.022939410012429814,0.0033333333333333335,1.679074249723207,0.0033333333333333335,0.009496753246753246,0.01928376688600537,0.7629840906529276,0.009506917441357161,0.006458333333333333,0.006401327379245361,0.3726901106896551,0.003105590062111801,0.09012826920464644,0.003105590062111801,0.009599096555618296
İSTANBUL,PENDİK,SANAYİ MAH.,SANAYİ,7,2100,3.8313547860958765,0.026682004803485815,0.006663709945670252,1.2485922743712918,0.003215434083601286,0.010123917558126999,0.013234323432343235,1.11944302199984,0.0133822692614089,0.006748605895072266,0.006568303889212451,0.6141653304132599,0.0,0.07354130066433665,0.0,0.026284717586474302
İSTANBUL,PENDİK,SAPAN BAĞLARI MAH.,SAPAN BAĞLARI,21,6796,7.822079210595187,0.07761190391395609,0.00989492581445694,9.55712992488894,0.015407453501495907,0.024998321548800495,0.04933732429963087,0.8511349987990695,0.019470167296449,0.015585060851033518,0.018514798615736554,2.3415598295112856,0.0,0.1417554084848749,0.0,0.05552067187908307
İSTANBUL,PENDİK,SÜLÜNTEPE MAH.,SÜLÜNTEPE,42,13895,20.962756021139317,0.1839696135305219,0.020900450028269076,11.11026039637331,0.012122948409948877,0.03010429807946744,0.1452412039507314,5.9052377446009405,0.05429459858866285,0.030249303023410473,0.04875771542212865,3.0136449451769387,0.015411261442990196,0.36440468489899996,0.011932203425687047,0.09071261190867744
İSTANBUL,PENDİK,VELİBABA MAH.,VELİBABA,64,20450,41.60569002914461,0.4801742073194553,0.052696036982196125,11.00029503266271,0.024373438382917938,0.0374221884949472,0.11592308149421603,3.776367512100752,0.08559982948819006,0.06209108578420297,0.050596913874775114,5.903784053534511,0.012518677426726868,0.6841103971519058,0.0,0.10835751615788115
İSTANBUL,PENDİK,YAYALAR MAH.,YAYALAR,21,6956,11.663170798196553,0.11071949498537507,0.012012048500004492,5.5594715265181565,0.012905364581677108,0.03645004028238423,0.046157706954193425,1.2876353097829747,0.008934422967778246,0.02735496020373285,0.002932551319648094,1.9238156732061615,0.003048780487804878,0.257928364001048,0.0,0.04746295801250759
İSTANBUL,PENDİK,YENİ MAH.,YENİ,31,10160,11.170517387937691,0.10692256521824128,0.03290369647738484,15.107330464088072,0.015804675089421738,0.02474581800096894,0.036798389467320065,0.9624067552841049,0.02814365446415249,0.015383697804725613,0.009359416954353663,3.134306233738254,0.01254500410915658,0.2619146883080513,0.0,0.0809175530581021
İSTANBUL,PENDİK,YENİŞEHİR MAH.,YENİŞEHİR,99,31831,38.53471877013485,0.41433381427104155,0.06119636921703957,40.91931992662936,0.04070388334812181,0.0629950427043263,0.18617497326072216,5.903467141475464,0.058861383700159385,0.04075502110791481,0.07155498053240972,11.744345749443623,0.015823171907349262,0.5630782048400923,0.012874596686222782,0.3697969707413017
