il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,ABDULCELİL GÜLAP,AHMET ÇÖRDÜK,AK PARTİ,ALİ RIZA KANSIZ,AYSEL TEKEREK,BTP,BURAK KADIOĞLU,BURHAN EROL,CHP,DOĞAN DUMAN,DP,DSP,DURSUNALİ BACIOĞLU,FATMA RAGİBE KANIKURU LOĞOĞLU,GÜLDES ÖNKOYUN,HALEF ALP,HASAN ATASOY TORUN,HAZER ORUÇ KAYA,HÜSEYİN KARABULUT,LÜTFÜ YILMAZ,MEHMET CELAL BAYKARA,MEHMET YILDIZ,MEMET ALİ AYDOĞMUŞ,MUHAMMET ALİ CANCA,ORUÇ KARACIK,SAADET,SEÇKİN İLKER,TKP,VATAN PARTİSİ,VEDAT ÖZTÜRK,ÖZGE AKMAN,ÖZKAN MUSTAFA KÜÇÜKKURAL
İSTANBUL,PENDİK,FATİH MAH.,FATİH,41,11278,0.0,0.0,24.933945511683746,0.0,0.022228164508171444,0.1513671258295613,0.00390625,0.0,14.970859812435485,0.0034965034965034965,0.07400843523300679,0.13773958171459677,0.0,0.0,0.0,0.003787878787878788,0.0,0.0,0.0,0.003745318352059925,0.0,0.0,0.0035460992907801418,0.0,0.0,0.5821078553328535,0.0,0.02901027170723962,0.06916358993527923,0.0,0.011087601692839278,0.0
İSTANBUL,PENDİK,FEVZİ ÇAKMAK MAH.,FEVZİ ÇAKMAK,74,20925,0.0,0.003436426116838488,52.42282325975113,0.0,0.0,0.25582555868580975,0.0,0.003484320557491289,19.194134815599025,0.01764547755902904,0.14806935417498476,0.14996513668501968,0.0,0.0,0.0,0.0035971223021582736,0.0034965034965034965,0.0,0.0034965034965034965,0.017848050997950927,0.01048951048951049,0.0033003300330033004,0.0,0.003663003663003663,0.0,1.591524616160858,0.0,0.042667106690294304,0.09996643636735292,0.0,0.024566467173539927,0.0
İSTANBUL,PENDİK,GÖÇBEYLİ MAH.,GÖÇBEYLİ,3,928,0.0,0.0,2.2578128183560406,0.0,0.0,0.006462862035122889,0.0,0.0,0.6873335932385713,0.0,0.012862268267212588,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022675819710102265,0.0,0.003194888178913738,0.006389776357827476,0.0,0.0032679738562091504,0.0
İSTANBUL,PENDİK,GÜLLÜ BAĞLAR MAH.,GÜLLÜ BAĞLAR,30,8425,0.0,0.007147324220494952,19.141802453989502,0.0,0.0,0.10816912644446242,0.007142857142857143,0.0,10.075755167703175,0.003367003367003367,0.053560782319277224,0.11000331761116598,0.0,0.0,0.0,0.0,0.007055749128919861,0.0034965034965034965,0.0,0.003401360544217687,0.0,0.003484320557491289,0.0,0.0,0.0,0.4186717177571753,0.0034965034965034965,0.018051641588815833,0.024447163507779,0.0,0.007462686567164179,0.003484320557491289
İSTANBUL,PENDİK,GÜZELYALI MAH.,GÜZELYALI,69,19302,0.003816793893129771,0.0,39.58638929921284,0.0,0.011079956125906716,0.24806141756111616,0.0,0.007215663841073378,27.397777083558402,0.007696406370256349,0.15677249712379127,0.1614084930314008,0.0,0.0,0.0,0.0,0.0034482758620689655,0.0,0.007417582417582417,0.0,0.0,0.010715105779271308,0.0,0.0036900369003690036,0.0036101083032490976,1.2069247347224086,0.0,0.0648314546502218,0.1012082014474783,0.0,0.017936889199430425,0.0
İSTANBUL,PENDİK,HARMANDERE MAH.,HARMANDERE,16,4398,0.0,0.0,6.317390767742309,0.0,0.01100257621296694,0.06148603447508054,0.0,0.0,9.274962423259664,0.007220216606498195,0.0293882920572114,0.03306054565970693,0.0,0.0036363636363636364,0.0036101083032490976,0.0,0.0,0.0,0.0038461538461538464,0.003676470588235294,0.0,0.0,0.0,0.0036101083032490976,0.0,0.18881837451322908,0.0,0.021806643721490694,0.03648492107459281,0.0,0.0,0.0
İSTANBUL,PENDİK,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,1,29,0.0,0.0,0.3448275862068966,0.0,0.0,0.0,0.0,0.0,0.6551724137931034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
İSTANBUL,PENDİK,KAVAKPINAR MAH.,KAVAKPINAR,116,32571,0.003484320557491289,0.003472222222222222,69.18219526150811,0.014542990972272166,0.024923046757607675,0.35931827548007894,0.007533624652403382,0.0,43.85206513880009,0.003436426116838488,0.26273570628817416,0.33601404488923264,0.0,0.007547169811320755,0.007380174291938998,0.0036101083032490976,0.0035087719298245615,0.0,0.0071685508735868445,0.007307153810254017,0.0035971223021582736,0.0,0.0,0.010709867929845001,0.0,1.673020029721387,0.006957047791893527,0.027721257563595378,0.1601422504004135,0.010375409131484114,0.014237690898180149,0.006996336996336996
İSTANBUL,PENDİK,KAYNARCA MAH.,KAYNARCA,99,27509,0.0034965034965034965,0.003389830508474576,57.15702531303596,0.006944444444444444,0.01442587394619001,0.4068059929887192,0.0036363636363636364,0.0,38.99169832621634,0.014573363956158967,0.14193938464583392,0.2554500192156055,0.004149377593360996,0.0071206841938549256,0.0036363636363636364,0.0,0.007156000817828665,0.003355704697986577,0.007454606030318174,0.018105670586446132,0.010857620640229337,0.007056451612903226,0.0,0.0,0.0,1.5744218083668267,0.0,0.08550473351041055,0.2429292905631426,0.010669912055360397,0.018196359604377838,0.0
İSTANBUL,PENDİK,KURNA MAH.,KURNA,3,701,0.0,0.0,1.8194430324936932,0.0,0.0,0.00881057268722467,0.0,0.0,1.0726721638615913,0.0,0.02592953424451222,0.00881057268722467,0.0,0.0,0.0,0.0,0.0,0.004405286343612335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0382728077111337,0.0,0.004405286343612335,0.01725074362739561,0.0,0.0,0.0
