il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,AHMET TUNCAY ÖZKAN,AK PARTİ,BBP,BÜLENT BOZKURT,CHP,DP,DSP,DYP,ERTUĞRUL KORKUT ERENKUL,FATMA BENAL YAZGAN,HAS PARTİ,HEPAR,LDP,MHP,MMP,MUHAMMET GULAMOĞLU,MİLLET,NAMIK KURNAZ,SAADET,SADUN MUHLİS ALTUNCUOĞLU,SEBAHAT TUNCEL,TAMER AYDEMİR,TKP,TUFAN SEVİM,TURGUT ÖKER,İBRAHİM ÇİÇEK
İSTANBUL,PENDİK,FATİH MAH.,FATİH,41,10130,0.07027823930977245,23.789165610819847,0.18403257768147238,0.011995924495924496,9.644394857843984,0.08867829355778534,0.09739863422360417,0.052093189877103756,0.0,0.004524886877828055,0.2411019006726654,0.11296323807685407,0.019922717671463634,3.480157297673666,0.012034306588938382,0.008097165991902834,0.06999281871102377,0.07289095158158058,1.2140728935360539,0.0041841004184100415,1.6679504598873058,0.008512868710237131,0.07254801034739619,0.004032258064516129,0.040574249647211326,0.028402547733451914
İSTANBUL,PENDİK,FEVZİ ÇAKMAK MAH.,FEVZİ ÇAKMAK,81,20267,0.14411420870441705,57.52413278389357,0.6332366403722509,0.0,8.3132864763546,0.3165720368300676,0.149290215593215,0.10466545940655297,0.0038910505836575876,0.008246725813265738,0.5754381622345465,0.2475277949250555,0.011689062318677196,8.165107083954284,0.047853998895341934,0.007937632884479092,0.05851410911964713,0.012006856238647839,3.075597002476669,0.0041841004184100415,1.4748500773573756,0.012287076992959346,0.06484475105107808,0.00812110829242579,0.024890095558498717,0.011715489730304694
İSTANBUL,PENDİK,GÖÇBEYLİ KÖYÜ,GÖÇBEYLİ,3,27,0.0,1.3571428571428572,0.0,0.0,0.9523809523809523,0.07142857142857142,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.45238095238095233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
İSTANBUL,PENDİK,GÜLLÜ BAĞLAR MAH.,GÜLLÜ BAĞLAR,28,6993,0.023767256880129664,18.22840526838225,0.28396029384527033,0.0,5.694549249440708,0.20514176140468096,0.04523678839723573,0.011862350779479397,0.0,0.00411522633744856,0.20859563099663558,0.10022674845839369,0.0,2.1109264508213066,0.012238489455531864,0.0,0.051634039610290595,0.0,0.5731031319415698,0.007942636514065085,0.37798262716823317,0.003861003861003861,0.03204971494358158,0.0,0.020286104424736683,0.00411522633744856
İSTANBUL,PENDİK,GÜZELYALI MAH.,GÜZELYALI,67,16873,0.35724751130911725,39.138730064652485,0.5214391212827947,0.004032258064516129,16.945929351702897,0.21466421529140362,0.12083519501796301,0.06809306002808146,0.0,0.0041841004184100415,0.4625875652252515,0.21986265841116825,0.027116817814492232,6.355492387968893,0.035076560458183054,0.0,0.10406637352552746,0.0,1.205521095192187,0.007707386616769134,0.9472317214112586,0.004048582995951417,0.11826676919729637,0.003875968992248062,0.12228512746291104,0.011706106960190445
İSTANBUL,PENDİK,HARMANDERE MAH.,HARMANDERE,14,3341,0.16704692992378806,6.994072784441638,0.08426336922501597,0.0,4.356213506489676,0.04147644116309534,0.0468976592699564,0.008403361344537815,0.0,0.0,0.12581818413786316,0.03754661933611352,0.0,1.4963140878614307,0.008302328785999725,0.0,0.00826799227865184,0.0,0.24083286852514182,0.0,0.3549926509791029,0.004405286343612335,0.020908641758782875,0.0,0.0,0.00423728813559322
İSTANBUL,PENDİK,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,2,282,0.008403361344537815,0.7846574212507089,0.03907820797030469,0.0,0.6251482187967211,0.006134969325153374,0.008403361344537815,0.0,0.0,0.0,0.025210084033613446,0.0,0.0,0.2548847759962881,0.0,0.0,0.006134969325153374,0.0,0.0,0.0,0.22127133061813684,0.0,0.020673299994844564,0.0,0.0,0.0
İSTANBUL,PENDİK,KAVAKPINAR MAH.,KAVAKPINAR,122,31084,0.11929386695075553,73.50566587075897,0.7752277969355081,0.015357170334581371,25.041603888406378,0.35275213723091975,0.15389097273472058,0.10529066209744972,0.00390625,0.03848946248272825,0.8957060539813911,0.3131228171445343,0.043937667211547786,8.785823028025694,0.06754002225799358,0.03130126679156161,0.2209283581927485,0.08932115696336862,2.843249340754146,0.12260048113298924,8.032167745135277,0.01925740076094856,0.1504874492882888,0.0789659993581986,0.14762743150420807,0.04648570356508043
İSTANBUL,PENDİK,KAYNARCA MAH.,KAYNARCA,104,26227,0.4544627522818869,61.78898137324356,0.618626968193923,0.003703703703703704,19.076031068344548,0.3175954154668918,0.23005277208401548,0.12214813671389825,0.007680967123691582,0.036293011975109486,0.9528311223246426,0.5661957766729836,0.019718238708533526,13.574314700898396,0.03976881462587664,0.00762617256027721,0.1390712028541628,0.04003653171477797,2.6940749041480565,0.02801052607638301,3.079909706944399,0.01151403286349964,0.11063876099085337,0.02828399011003741,0.0324497867193717,0.019979562656520185
İSTANBUL,PENDİK,KURNA KÖYÜ,KURNA,3,772,0.007815481369540992,1.8742718486501972,0.027016778157044678,0.0,0.47093271476428505,0.027139951834277976,0.0038461538461538464,0.01947711658523583,0.0,0.0,0.015355142941349837,0.015493052840215911,0.0,0.2871188984116584,0.011646898994062065,0.0,0.00398406374501992,0.0,0.035014378090350066,0.0038461538461538464,0.1855029043859927,0.0,0.007692307692307693,0.0038461538461538464,0.0,0.0
İSTANBUL,PENDİK,KURTDOĞMUŞ KÖYÜ,KURTDOĞMUŞ,2,304,0.0,0.9018309310479158,0.02623035969354629,0.0,0.4938319698740423,0.013158464268709692,0.0,0.0,0.0,0.0,0.006622516556291391,0.006535947712418301,0.0,0.5055187637969094,0.0,0.0,0.0,0.0,0.033026013937583865,0.0,0.013245033112582781,0.0,0.0,0.0,0.0,0.0
İSTANBUL,PENDİK,KURTKÖY MAH.,KURTKÖY,43,10607,0.08268482747200585,27.042005383205463,0.3756694962169287,0.008197960589312412,7.286779031570975,0.1559380534228546,0.0980309385744625,0.05215645212256123,0.0,0.02779769524868932,0.420685030687871,0.18394402663440346,0.011863763666520824,4.243362304327991,0.01641318009948781,0.0040650406504065045,0.10382268917042388,0.004048582995951417,0.9768338275787278,0.024770004403964544,1.6712983482538317,0.0,0.11889912081753946,0.020949609487916736,0.024926892155131955,0.04485774064657762
İSTANBUL,PENDİK,ORHANGAZİ MAH.,ORHANGAZİ,56,14117,0.05102943556540096,36.34675962070563,0.4237157912520214,0.008213414121013212,9.449594952823723,0.2870189863893284,0.13928768279663215,0.06365273077147347,0.0,0.0038910505836575876,0.4396566215933202,0.15512486700164693,0.039099600963898626,5.420236257271732,0.047643443474258945,0.0,0.0632744930731785,0.003968253968253968,1.9406828103466787,0.003816793893129771,0.9899780198561124,0.003968253968253968,0.05178996111235245,0.01614997406425901,0.03540868685114147,0.016038297552898192
İSTANBUL,PENDİK,ORTA MAH.,ORTA,14,3468,0.036834484797204026,8.145038956582516,0.15831935539076442,0.0,2.686963081558572,0.08533795862370458,0.060098789125800134,0.03208818755029188,0.0,0.0,0.10968438615303709,0.07925592327168515,0.027577053206243762,2.18393758240126,0.012019265537540317,0.003787878787878788,0.02392684654682705,0.0,0.263290524458716,0.00425531914893617,0.04871268633457372,0.004,0.03487172052444909,0.0,0.0,0.0
İSTANBUL,PENDİK,RAMAZANOĞLU MAH.,RAMAZANOĞLU,8,1966,0.008771929824561403,3.8332846896612587,0.02458053322232199,0.0,2.7887857285944437,0.0412296254790836,0.027322629125386282,0.0,0.0,0.00398406374501992,0.07366971011181826,0.016682712879760378,0.0,0.5160291607139538,0.0043859649122807015,0.0,0.019920472634288422,0.0043859649122807015,0.21604791471815138,0.0,0.38470436243745526,0.0,0.007926044511410366,0.004166666666666667,0.0043859649122807015,0.019735860937577676
İSTANBUL,PENDİK,SANAYİ MAH.,SANAYİ,8,2066,0.030365940830328137,4.432072816531241,0.09630268923724618,0.0,1.4815714711921482,0.04643899242341212,0.007782101167315175,0.01151172878415106,0.0,0.011482007575757576,0.07015186937311495,0.027181887831104094,0.0,0.6826491919261485,0.007519222071460878,0.00392156862745098,0.01918827658415919,0.0,0.252116313304096,0.0038910505836575876,0.7848653934197375,0.0,0.01564043783855955,0.00763759328358209,0.00392156862745098,0.003787878787878788
İSTANBUL,PENDİK,SAPAN BAĞLARI MAH.,SAPAN BAĞLARI,25,6128,0.24570146037101961,9.219792307057013,0.12032112443954467,0.004484304932735426,10.958937782867785,0.18840935768262657,0.09026607750289192,0.03798195220292738,0.0,0.0,0.118105313936677,0.18190798582713172,0.008559670781893004,2.967142034106629,0.01251014084252559,0.003861003861003861,0.040523305460666605,0.0077693630630902445,0.2467655480269688,0.004081632653061225,0.4283390968685875,0.004484304932735426,0.08497023108507605,0.004672897196261682,0.0,0.020413104301148323
