il_ADI,ilce_ADI,orig_name,normalized,n_sandik,gecerli_oy_toplam,AB PARTİ,ABDULLAH ARLİ,ABP,ADEM BAYRAKTAR,AHMET BİRİKMEN,AHMET SOYTÜRK,AK PARTİ,ANAP,ATAKAN BOZYAYLA,BTP,BURAK EMRE ÇETİN,BİLEN AKPINAR,CEMAL TARANCI,CHP,DEM Parti,DEVA PARTİSİ,DSP,FATMA RAGİBE KANIKURU LOĞOĞLU,GALİP MENTEŞE,GÜVEN AKICI,HABİP AKSU,HAK-PAR,HÜLYA KAVUZLU KARAMAN,HÜSEYİN DURMAZ,MEMET ALİ AYDOĞMUŞ,MEMLEKET,MERVE KARATAŞ,MİLLET,MİLLİ YOL,MİRHAT TEKİN BRUSK,OCAK,ORHAN ÇEBİ,POLAT ERDOĞAN,SAADET,SENA ELEST AKINCI,TKH,TKP,UĞUR ETLİK,VATAN PARTİSİ,VEDAT TAYLAN YILDIZ,VEDAT ÖZTÜRK,YAŞAR POLAT,YENİDEN REFAH,YTP,YÜKSEL ÖZDEN,ZAFER PARTİSİ,ÖMER KARVAN,İSHAK AKBAY,İYİ PARTİ
İSTANBUL,PENDİK,FATİH MAH.,FATİH,44,11458,0.05047516739887708,0.0,0.01153392129487747,0.019320630761046783,0.0,0.003663003663003663,21.530066672138425,0.02612154121563521,0.0037593984962406013,0.04952097179689595,0.00390625,0.0,0.0,17.18337370961997,0.7750688428801339,0.08908414399231314,0.05376057135747901,0.004048582995951417,0.012121212121212121,0.0036231884057971015,0.007802064359441409,0.03095551107143037,0.007300145203618101,0.0,0.0038461538461538464,0.06523604675641645,0.003952569169960474,0.027130667409574462,0.011333781185473226,0.0,0.0,0.0,0.0,0.4158451922219129,0.0,0.011712108058430088,0.015167848808358024,0.0,0.026906737453833623,0.03397183727844816,0.007905261842269716,0.0038461538461538464,2.184393084779536,0.056876308039649735,0.0,1.0297363111793358,0.0,0.0,0.23663440935214608
İSTANBUL,PENDİK,FEVZİ ÇAKMAK MAH.,FEVZİ ÇAKMAK,81,21588,0.02641653837415394,0.0,0.019099334432521053,0.02003633130081301,0.0,0.003745318352059925,46.50823837046455,0.02169467330757653,0.0037174721189591076,0.07196997887022921,0.0,0.0038022813688212928,0.0,25.81702302076115,0.8511499005725043,0.09353321724622711,0.0924946923885561,0.0037174721189591076,0.0,0.003703703703703704,0.004,0.03711430011601266,0.003968253968253968,0.0,0.007636368935717513,0.21235468287596043,0.010577236383687997,0.014908576939414284,0.0036363636363636364,0.0,0.0036900369003690036,0.0,0.0,0.9852912258031687,0.0,0.007399403670979566,0.0441756225227787,0.0,0.03336361628518232,0.04870570636445669,0.007717472118959108,0.007554054246661251,3.342066434359361,0.04916192854398076,0.0,2.047333804195171,0.0,0.0037593984962406013,0.585243208256501
İSTANBUL,PENDİK,GÖÇBEYLİ MAH.,GÖÇBEYLİ,3,943,0.006393953322097952,0.0,0.0,0.0,0.0,0.0,1.4290273662246138,0.0,0.0,0.003278688524590164,0.0,0.0,0.0,1.3629487607651594,0.006557377049180328,0.006309148264984227,0.009424413062492015,0.0,0.003115264797507788,0.0,0.0,0.0031545741324921135,0.0,0.0,0.0,0.003278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003278688524590164,0.0,0.0,0.006433262657082278,0.0,0.003278688524590164,0.006393953322097952,0.003278688524590164,0.0,0.11819405182098078,0.0,0.0,0.006230529595015576,0.0,0.0,0.019423902363344882
İSTANBUL,PENDİK,GÜLLÜ BAĞLAR MAH.,GÜLLÜ BAĞLAR,39,10401,0.0036900369003690036,0.0,0.007223605804962643,0.00753619074652285,0.0035335689045936395,0.0,19.961018939154574,0.015147943015916071,0.0,0.052973788027101704,0.003745318352059925,0.0,0.0,14.877611396535249,0.5806691851107372,0.0400056105461398,0.014943152130576313,0.0,0.0,0.0,0.003875968992248062,0.011084284460052678,0.010862756074479854,0.0036900369003690036,0.0036900369003690036,0.063909195670368,0.0036363636363636364,0.026571249871077927,0.0,0.0,0.0035587188612099642,0.0,0.0,0.3881524347553018,0.0,0.007722007722007722,0.026707971360083398,0.0,0.0260506025431644,0.026114455214800287,0.00392156862745098,0.003875968992248062,1.5210073519506684,0.06043682107313483,0.0,1.0299592871677639,0.0,0.003861003861003861,0.203213180137033
İSTANBUL,PENDİK,GÜZELYALI MAH.,GÜZELYALI,74,19572,0.014963784191913937,0.0,0.018717797148860182,0.00423728813559322,0.0,0.0,34.780981950861865,0.015327279437682619,0.003952569169960474,0.07963423564189474,0.0,0.0,0.0038910505836575876,32.15043851695581,0.600286804425396,0.09874235896553285,0.030191579163192768,0.0,0.0037313432835820895,0.0038461538461538464,0.0,0.06626262036471124,0.011571539374030477,0.003861003861003861,0.0,0.1251589290574299,0.018457392889939087,0.019364418426950906,0.011509101585437463,0.0,0.007537474449239155,0.0,0.0,0.6569023320914977,0.007290062144792053,0.011623366114189494,0.04138053412311586,0.0,0.029751178758707298,0.025885318446565515,0.007407509019328112,0.0,2.4767287406760032,0.08667861585738967,0.0,2.0344180493477477,0.0,0.007726154075620851,0.541542947525205
İSTANBUL,PENDİK,HARMANDERE MAH.,HARMANDERE,19,5061,0.0035971223021582736,0.0037313432835820895,0.0,0.0,0.0,0.0,5.885060750585754,0.007658290868622972,0.0,0.014876692280343648,0.0,0.0,0.0,11.569302343345088,0.1357728701701856,0.022954975881983117,0.018377845988117404,0.0,0.0,0.0,0.0,0.02251677668987513,0.01554107067415052,0.0,0.0,0.04130275131492945,0.015017517190155783,0.007092287765803604,0.0036900369003690036,0.0,0.00390625,0.0,0.0,0.06333873928763471,0.0,0.0,0.007738619896320421,0.0,0.011048088496703893,0.015321991119075735,0.003472222222222222,0.0,0.39692050052525496,0.048689839885462244,0.0038022813688212928,0.5765010804723478,0.0,0.0,0.10276771148503783
İSTANBUL,PENDİK,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,KARTAL H TİPİ KAPALI CEZA İNFAZ KURUMU,1,18,0.0,0.0,0.0,0.0,0.0,0.0,0.4444444444444444,0.0,0.0,0.05555555555555555,0.0,0.0,0.0,0.2777777777777778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.1111111111111111
İSTANBUL,PENDİK,KAVAKPINAR MAH.,KAVAKPINAR,135,35002,0.037475146219546736,0.0,0.042180864729365684,0.03831375001588848,0.007898426546190995,0.0,65.87982601810717,0.05019988324955989,0.0038022813688212928,0.15764484696147857,0.0,0.0,0.007713572320313894,54.015484206040654,3.484161343001774,0.2508162201472725,0.0740495107443922,0.0,0.02727461841191556,0.0,0.004,0.1129421909876295,0.030537379254759335,0.003787878787878788,0.0,0.274062859561455,0.02278472975029282,0.0269662998663396,0.01958447134881471,0.007562677473209572,0.023372522792442348,0.007921071619035668,0.0038314176245210726,1.019394079921004,0.015206388953725811,0.011410804071437988,0.06873721901653848,0.007533624652403382,0.07396882781293199,0.08137122299588802,0.03510878734941585,0.007181536874677669,5.435420542109308,0.13137168108414063,0.0,2.7144120504509557,0.007665648496240601,0.03108615655392917,0.7459372427266912
İSTANBUL,PENDİK,KAYNARCA MAH.,KAYNARCA,104,27121,0.02358261964490289,0.0,0.007247233053684667,0.015499698475602371,0.0036363636363636364,0.0,48.126177539733106,0.04551619663937863,0.0038314176245210726,0.13035798023496908,0.003875968992248062,0.00773134328358209,0.003676470588235294,45.06252511719344,1.3567462746421515,0.06791786712921648,0.08517583969263347,0.0,0.0038022813688212928,0.007605552342394448,0.0,0.06882569719129307,0.011958079586554968,0.0,0.008298755186721992,0.3054890644953659,0.019442743937693435,0.0077735849056603775,0.012136492405648038,0.0036101083032490976,0.0,0.0076775714706749185,0.0,0.8473068402668907,0.0036101083032490976,0.020163851326684672,0.06546040541192256,0.0,0.100003203803728,0.10644926889459387,0.020238526314127495,0.0,3.5264111240283507,0.12904352436229302,0.0,2.9651774660237034,0.011379907118724164,0.011261506319382152,0.793376406068232
İSTANBUL,PENDİK,KURNA MAH.,KURNA,3,718,0.0,0.0,0.0,0.00423728813559322,0.0,0.0,1.35654233784133,0.0,0.0,0.00423728813559322,0.0,0.0,0.0,1.3754779678536961,0.03764160185478537,0.0,0.0,0.0,0.0,0.0,0.0,0.012559221293823758,0.00423728813559322,0.0,0.0,0.008097165991902834,0.00425531914893617,0.0,0.0,0.0,0.0,0.0,0.0,0.020809030398682496,0.0,0.0,0.00423728813559322,0.0,0.0,0.012334454127496054,0.0,0.0,0.10134517199542728,0.0,0.0,0.03355695683214806,0.0,0.0,0.020431620119398888
İSTANBUL,PENDİK,KURTDOĞMUŞ MAH.,KURTDOĞMUŞ,2,510,0.0,0.0,0.0,0.0,0.0,0.0,0.9135048676581412,0.0,0.0,0.0038910505836575876,0.0,0.0,0.0,0.9489549530151797,0.003952569169960474,0.0,0.0,0.0,0.0,0.0,0.0,0.0038910505836575876,0.003952569169960474,0.0,0.0038910505836575876,0.0,0.0,0.0,0.0,0.003952569169960474,0.0,0.0,0.0,0.007843619753618062,0.0,0.0,0.0,0.0,0.0,0.003952569169960474,0.0,0.0,0.0589194260315898,0.0,0.0,0.03940265452699897,0.0,0.0,0.0038910505836575876
İSTANBUL,PENDİK,KURTKÖY MAH.,KURTKÖY,79,20593,0.03823190201832743,0.0,0.01970544485207363,0.0,0.0,0.0,34.581621835060425,0.01921132746321693,0.003703703703703704,0.07727161946900009,0.004032258064516129,0.003937007874015748,0.0,36.00916588591692,1.1400683866805559,0.1026675702881756,0.05177375702027249,0.003952569169960474,0.003952569169960474,0.0,0.0,0.07403645712295945,0.01136021363263591,0.0,0.003745318352059925,0.17209267016206525,0.015151276113077906,0.027076230845566478,0.003816793893129771,0.004032258064516129,0.0035714285714285713,0.011349558652940682,0.0,0.47797324968080557,0.0,0.019085112089528514,0.07292819628420452,0.0,0.05764936127388197,0.062086355433652804,0.007729382097079846,0.0,2.854005428712024,0.08391129263160167,0.0,2.440985032707873,0.0,0.011733793928495157,0.5263847529993462
İSTANBUL,PENDİK,ORHANGAZİ MAH.,ORHANGAZİ,59,15335,0.023299802640012458,0.0,0.02219538201362144,0.0,0.0,0.0,31.1788604736854,0.015041118935765317,0.0,0.21451571945501718,0.003952569169960474,0.0,0.0,20.576557640053284,0.6888725831971741,0.05756075130843076,0.022425460687964808,0.0,0.003861003861003861,0.0,0.0,0.056873964851531664,0.007722007722007722,0.007421788940295219,0.0037735849056603774,0.11055360156535327,0.007615572832964137,0.01860189708814133,0.0,0.0037735849056603774,0.0,0.0,0.0,0.589844557593954,0.0036900369003690036,0.019124100661069877,0.027446710034850802,0.0,0.04174610799732126,0.031448850909310676,0.008016836964205385,0.0,3.124874580192794,0.11580096713139242,0.0038314176245210726,1.6165895699079362,0.004166666666666667,0.007699597251836058,0.3822414923445233
İSTANBUL,PENDİK,ORTA MAH.,ORTA,8,1993,0.004081632653061225,0.0,0.0,0.0,0.0,0.003937007874015748,3.720289764269648,0.007874015748031496,0.0,0.011529030216737858,0.0,0.0,0.0,3.542982431663387,0.011224489795918367,0.007724886661894536,0.003875968992248062,0.0,0.0,0.0,0.0,0.007194244604316547,0.0,0.0,0.0,0.005025125628140704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06936855789542261,0.0,0.008813004416019492,0.003937007874015748,0.0,0.003937007874015748,0.0087327954437589,0.0,0.0,0.29632294443088897,0.014955834009120952,0.0,0.20845720635797074,0.0,0.0,0.05973704359138738
İSTANBUL,PENDİK,RAMAZANOĞLU MAH.,RAMAZANOĞLU,6,1495,0.007737667624521072,0.0,0.0,0.0,0.0,0.0,2.0848227612093893,0.0,0.0,0.0040650406504065045,0.0,0.00390625,0.0,3.3240971939448305,0.10037096320039783,0.01600341916446273,0.0,0.0,0.0040650406504065045,0.0,0.0,0.015879610395605412,0.004016064257028112,0.0,0.0040650406504065045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05572730603091701,0.0,0.0,0.0,0.0,0.0,0.0,0.004016064257028112,0.0,0.2228005066281341,0.0,0.0,0.12418505135192948,0.004016064257028112,0.004032258064516129,0.016193697662992394
İSTANBUL,PENDİK,SANAYİ MAH.,SANAYİ,7,1846,0.003861003861003861,0.0,0.011362517711984488,0.0,0.0,0.0,2.646937287433899,0.003952569169960474,0.003952569169960474,0.007722007722007722,0.0,0.0,0.0,3.4412365552367237,0.15211221826183557,0.00758893280632411,0.0,0.0,0.007477288609364081,0.0,0.0,0.0076345887666642385,0.0,0.0,0.003861003861003861,0.0075947542873612914,0.003745318352059925,0.003952569169960474,0.0036363636363636364,0.0,0.0,0.0,0.0,0.10974831520423443,0.0,0.0,0.0076978875220204,0.0,0.03405842057516045,0.003952569169960474,0.003703703703703704,0.0,0.3161673387052637,0.0076345887666642385,0.0,0.15946893179286895,0.0,0.0,0.04094069650364643
İSTANBUL,PENDİK,SAPAN BAĞLARI MAH.,SAPAN BAĞLARI,27,7568,0.0,0.0,0.0,0.0,0.0,0.0,8.021235518145723,0.01106080930024592,0.0,0.028501254554534037,0.0,0.0,0.0,17.31013815470362,0.09306309809412959,0.010534826541995022,0.0,0.0,0.0036101083032490976,0.0,0.0036496350364963502,0.007070315915705845,0.0035211267605633804,0.0,0.0,0.04604432053018386,0.0034602076124567475,0.0,0.0,0.0036101083032490976,0.007055749128919861,0.0,0.0,0.13633577266074506,0.003968253968253968,0.0037313432835820895,0.0213306135871078,0.0,0.02094941630841285,0.025351787693020576,0.0,0.0,0.3698283773818257,0.06233341319111764,0.0,0.6325096354877137,0.0,0.0,0.17110615350715094
İSTANBUL,PENDİK,SÜLÜNTEPE MAH.,SÜLÜNTEPE,53,14130,0.014835624382547102,0.0,0.007554054246661251,0.015365863416004006,0.0036900369003690036,0.0,21.019488408288893,0.011527727217570683,0.0,0.06655230724871689,0.0036900369003690036,0.0,0.0,26.7152467339226,1.2398715831217877,0.09035352051653707,0.04097712304875935,0.0,0.00782781862745098,0.0,0.0,0.0595056364195833,0.0035714285714285713,0.0,0.0,0.10392038472161409,0.018722531530735966,0.018787907511953746,0.00760500253018145,0.0,0.00390625,0.0037735849056603774,0.007606322213063786,0.34818086705422796,0.0,0.010672344818686282,0.010886609467966307,0.007633698993342365,0.038162966041473095,0.019016717303385285,0.0037593984962406013,0.0,1.6660436238686562,0.059397481174292666,0.0038461538461538464,1.0897769498208623,0.0,0.0,0.2782433028722238
İSTANBUL,PENDİK,VELİBABA MAH.,VELİBABA,86,22419,0.03432308120410733,0.0,0.03098527181767068,0.015311653499791564,0.0,0.0,43.875433535038276,0.031496798915710916,0.0,0.1099853014094636,0.0038022813688212928,0.0,0.0077529862519720525,33.07125905955394,1.1709229567421624,0.1588609941631069,0.03481469452018641,0.0036900369003690036,0.015808650571191424,0.00392156862745098,0.0,0.0920198978632884,0.011196912320615739,0.0077670195759056496,0.00392156862745098,0.14611372287115243,0.007747407540610202,0.045866351299691924,0.02309146203563473,0.003816793893129771,0.015588081964377281,0.007920110192837466,0.00390625,0.7490341763780239,0.004132231404958678,0.01920943613464363,0.050378346338418055,0.0,0.038316212816416124,0.04316185313144629,0.014964496828143022,0.0035460992907801418,3.5119670203758404,0.06931640282633102,0.0,2.0493389528641295,0.0,0.00392156862745098,0.5053887542145091
İSTANBUL,PENDİK,YAYALAR MAH.,YAYALAR,29,7562,0.015333895790718748,0.0,0.003861003861003861,0.003968253968253968,0.0,0.003952569169960474,12.018582592858664,0.0,0.0,0.03436675753104061,0.0,0.0,0.0,13.996802057750562,0.32018006071333865,0.04976805239359243,0.019778530648095864,0.0,0.0037593984962406013,0.0,0.0,0.02722422798575464,0.0,0.0037593984962406013,0.0038461538461538464,0.08485717911542995,0.011380685840548589,0.0,0.0,0.0,0.0,0.0,0.0,0.25470191527592867,0.0,0.003952569169960474,0.022416705396827878,0.0,0.015513243913088934,0.023380261050344388,0.0,0.0,1.0572019677896325,0.038418190911170526,0.0,0.7797059066507243,0.0,0.01153006629969641,0.1917583550770282
